"Timestamp","Status","Reason","SerialNumber","DeviceID","Hostname","ManagementIP","ComPort","LogPath"
"2026-09-23T23:59:22.0089371+09:00","SUCCESS","Configuration applied and saved","FOC1349W2H0","A-C3750-02-STN01","A-C2960-STN01","192.0.2.12","COM4","D:\network\work\K\CiscoAutoConfig\logs\A-C3750-02-STN01_COM4_20260923_235908.log"
"2026-09-23T23:59:22.0207883+09:00","NOT_EXECUTED","Cisco device or serial number was not confirmed","","","","","COM3","D:\network\work\K\CiscoAutoConfig\logs\probe_COM3_20260923_235908.log"
