"Timestamp","Status","Reason","SerialNumber","DeviceID","Hostname","ManagementIP","ComPort","LogPath"
"2026-09-24T00:05:36.0401429+09:00","FAILED","Cisco response error or macro error","FOC1349W2H0","A-C3750-02-STN01","A-C3750-01-STN01","192.0.2.12","COM4","D:\network\work\K\CiscoAutoConfig\logs\A-C3750-02-STN01_COM4_20260924_000424.log"
"2026-09-24T00:05:36.0524185+09:00","NOT_EXECUTED","Cisco device or serial number was not confirmed","","","","","COM3","D:\network\work\K\CiscoAutoConfig\logs\probe_COM3_20260924_000424.log"
